depth,tn_flux,profile,project,time,tot_flux2
69,155.28849611330696,multiple,ETNP,togetawatch,194.15073076545872
365,28.50585447154472,multiple,ETNP,togetawatch,31.30255706734039
452,44.21501349593496,multiple,ETNP,togetawatch,30.643590394159517
965,13.518021433038507,multiple,ETNP,togetawatch,25.821752650498848
100,97.35294041501979,multiple,ETNP,togetawatch,81.56554698643076
120,69.10368969754253,multiple,ETNP,togetawatch,60.01194669368616
120,99.03168824110669,multiple,ETNP,togetawatch,60.01194669368616
159,35.080598792270536,multiple,ETNP,togetawatch,42.63837102146815
180,37.39006226903177,multiple,ETNP,togetawatch,38.393718571009224
