depth,Flux
10,27379.55582166081
30,2500.7878439110154
50,515.6413576263552
70,186.60073254757097
90,100.84245028855437
112.5,66.3422563769888
137.5,49.92404814230739
162.5,41.77869006769411
187.5,37.3063672213957
225,33.904527751419046
275,32.14031793634011
325,31.550666478633794
375,31.243455746153053
425,30.889116350548097
475,30.406220885557506
525,29.81693918622627
575,29.175163050233163
625,28.53343668797367
675,27.930910358223475
725,27.391624114574284
775,26.926990150582032
825,26.539335743407346
875,26.225142116062
925,25.977542181746827
975,25.788052579783624
1050,25.59282568199952
1150,25.455323625485363
1250,25.410063576976967
1350,25.417717675765676
1450,25.449269156674536
1550,25.4833777300263
1650,25.504540353909064
1750,25.50186311375116
1850,25.46823708650145
1950,25.399752903468226
2100,25.230064896641377
2300,24.88790867143039
2500,24.436752240140905
2700,23.909601775702527
2900,23.342708570018818
3100,22.760028182652967
3300,22.1768645284446
3500,21.602930504880273
3700,21.044218169474547
3900,20.504253729486912
4100,19.984931931422203
4300,19.487071225567703
4500,19.01078509594057
4700,18.55573180306451
4900,18.121283047506694
5100,17.706638105157758
5300,17.31090100653172
5500,16.933132504839243
